ensembl_id,gene_symbol,base_mean,log2_fold_change,lfc_se,stat,pvalue,padj
ENSG00000185730,ZNF696,98.15821645029428,-0.067514845190772,0.2334522580424421,-0.289201936862387,0.7724268497511203,0.9014896903808634
ENSG00000185742,C11orf87,8.378209879890665,-0.210821031083862,0.7770857265494463,-0.2712970060844984,0.7861626089528934,0.9086965130603808
ENSG00000185745,IFIT1,237.71559349546223,-1.664125893719255,0.1813554486909666,-9.176045747348674,4.472123741865199e-20,3.0196047497507794e-18
ENSG00000185753,CXorf38,125.87003072014085,0.0858098805974885,0.1802212770716617,0.476136236474275,0.6339773226556387,0.8238653264660456
ENSG00000185760,KCNQ5,34.280294294570176,-0.9053404106618176,0.3746010434320636,-2.41681230347669,0.0156570884479663,0.065430224974487
ENSG00000185761,ADAMTSL5,384.5233170851039,0.2242827501316395,0.123527969763403,1.815643457600859,0.0694250827346642,0.2051447906720609
ENSG00000185774,KCNIP4,18.89941754375295,-0.1544504732478185,0.4482085789186922,-0.3445950847715407,0.7303988015005349,0.8800126708181277
ENSG00000185787,MORF4L1,7315.785505470843,0.2836558188509968,0.0872263487788289,3.251951076964533,0.0011461574818915,0.0075110603720611
ENSG00000185798,WDR53,94.8439557413144,-0.0534562136660401,0.2117760721405334,-0.252418571775979,0.800717546607652,0.9151376225350474
ENSG00000185800,DMWD,617.2190748288751,0.2724590221176927,0.1144925690813688,2.3797092187184528,0.017326304256863,0.0710713568015306
ENSG00000185803,SLC52A2,425.9074461268479,0.4052177063612706,0.1334035664881903,3.037532781382895,0.0023852345946898,0.0140388538273159
ENSG00000185808,PIGP,194.2373453081933,-0.0053771250588592,0.1521357933976271,-0.0353442469965333,0.9718052413534192,0.9891117193895564
ENSG00000185813,PCYT2,468.2537275495238,1.1164213633042162,0.117296515944967,9.5179413839369,1.766435283740244e-21,1.355118948734856e-19
ENSG00000185825,BCAP31,1970.3845330543395,0.2243348891780756,0.080768902027104,2.7774908850784477,0.0054780376518847,0.028224653554781
ENSG00000185829,ARL17A,213.12580893633472,-0.3515513477319096,0.1717283244264172,-2.047136655564025,0.040644668812607,0.1379525501730848
ENSG00000185834,RPL12P4,612.0746484963261,-0.180760575854021,0.1191592341395657,-1.5169665797138678,0.129275122093309,0.3203975668268044
ENSG00000185838,GNB1L,58.72698824113791,0.2490921232009544,0.2709486620335574,0.9193332837720528,0.3579212737120879,0.6067967166504568
ENSG00000185839,AK2P1,99.06147934048477,-0.0704909913829348,0.199724502679744,-0.3529411285903479,0.7241325762849891,0.8767818540788375
ENSG00000185842,DNAH14,52.806352282021344,-0.5804903954279363,0.2767776139040895,-2.097317002050213,0.0359655227788377,0.1253647418130098
ENSG00000185862,EVI2B,14.670947952556542,-0.5352113901796646,0.5648439891313937,-0.9475384362374156,0.3433644800742925,0.5930422347939592
ENSG00000185864,NPIPB4,830.5611286258315,0.1343319550945124,0.1433154647110794,0.9373165370905542,0.3485957589269499,0.5980666484521366
ENSG00000185869,ZNF829,104.23496296263654,-0.0076892205623294,0.1934519515527732,-0.0397474437482316,0.9682944768991426,0.9874368920442372
ENSG00000185875,THNSL1,68.13813681161321,-0.8456883732152352,0.2764819054269989,-3.0587476309133255,0.0022226430119665,0.0132025727247883
ENSG00000185880,TRIM69,580.6372497370321,-0.4387773074214349,0.1196054669474053,-3.668538893915112,0.0002439405879656333,0.0019519577984218
ENSG00000185885,IFITM1,309.5670365493106,-0.1375071140174022,0.1487379931834838,-0.92449219647446,0.3552301125172054,0.6040453186625334
ENSG00000185896,LAMP1,10932.579983819634,-0.0026735670788456,0.0708447105332184,-0.0377384148897334,0.9698962471469086,0.9883161623086404
ENSG00000185900,POMK,41.96043022312033,-0.1980419184886761,0.3393775981269609,-0.5835444636937669,0.559526833891945,0.773516129273715
ENSG00000185904,LINC00839,112.99313925486295,0.0143442703318726,0.1993979663777735,0.0719378968223596,0.9426513308595028,0.9761137331262894
ENSG00000185909,KLHDC8B,477.9809396390161,0.0243541875683108,0.1477046507250306,0.164884365175806,0.8690349987413009,0.9455072327460404
ENSG00000185917,SETD4,268.13143540036117,-0.2679998316282997,0.1355793732087706,-1.9767006240368337,0.0480754802382754,0.1565862254264912
ENSG00000185920,PTCH1,1003.9224661128068,0.2625067574473236,0.1463483410056381,1.7937118770428042,0.0728591686032614,0.2121979146332145
ENSG00000185928,ENSG00000185928,56.99498986917967,-0.4153086350391342,0.2545491949324803,-1.6315456631056942,0.1027752329081523,0.2718356659137574
ENSG00000185946,RNPC3,340.19292414932784,-0.0032783302618197,0.1310729749487707,-0.0250114889289807,0.980045799635976,0.9915928312180156
ENSG00000185947,ZNF267,124.217892180335,0.0682496191725192,0.1824738298498188,0.3740241503600305,0.7083863486661459,0.8677576336042181
ENSG00000185950,IRS2,1974.883079170174,2.1242382331170737,0.1599903806286903,13.277287201704072,3.135490104856661e-40,6.497312139121367e-38
ENSG00000185963,BICD2,1001.7325206936856,0.1644279843595662,0.0994696415583301,1.6530469174672124,0.0983213153420492,0.2627926868771629
ENSG00000185972,CCIN,13.450596100010811,-1.4355975484282526,0.5289441503387358,-2.7140815292293072,0.0066459807724922,0.0330710780073251
ENSG00000185973,TMLHE,238.77082796959337,-0.3399461443500854,0.1408120377362622,-2.4141838284223742,0.0157705034545296,0.0658177837737071
ENSG00000185986,SDHAP3,242.5210855219149,0.0229326762803968,0.1382459976980877,0.1658831117156749,0.8682489382510525,0.9455072327460404
ENSG00000185989,RASA3,1103.359330029655,0.1230480030643371,0.1091639086033186,1.1271857579914135,0.2596639507133512,0.5052041553486181
ENSG00000185990,ENSG00000185990,210.99773996640872,0.249035238246793,0.1480498106785609,1.682104401926505,0.0925485969562973,0.2515781221242653
