date,META,AAPL,AMZN,NFLX,GOOGL,NVDA,AZN
2023-07-05,294.370000,191.330000,130.380000,44.590000,121.750000,42.317000,134.000000
2023-07-06,291.990000,191.810000,128.360000,43.884000,120.110000,42.103000,132.440000
2023-07-07,290.530000,190.680000,129.780000,43.810000,119.480000,42.503000,127.750000
2023-07-10,294.100000,188.610000,127.130000,44.171000,116.450000,42.180000,131.250000
2023-07-11,298.290000,188.080000,128.780000,44.021000,117.140000,42.405000,131.250000
2023-07-12,309.340000,189.770000,130.800000,44.405000,118.930000,43.902000,134.320000
2023-07-13,313.410000,190.540000,134.300000,45.038000,124.540000,45.977000,133.599900
2023-07-14,308.870000,190.690000,134.680000,44.191000,125.420000,45.469000,138.620000
2023-07-17,310.620000,193.990000,133.560000,45.005000,124.650000,46.461000,135.780000
2023-07-18,312.050000,193.730000,132.830000,47.480000,123.760000,47.494000,134.450000
2023-07-19,316.010000,195.100000,135.360000,47.759000,122.030000,47.077000,137.060000
2023-07-20,302.520000,193.130000,129.960000,43.742000,119.200000,45.520000,138.000000
2023-07-21,294.260000,191.940000,130.000000,42.750000,120.020000,44.309000,136.919900
2023-07-24,291.610000,192.750000,128.800000,42.837000,121.530000,44.612000,139.280000
2023-07-25,294.470000,193.620000,129.130000,42.770000,122.210000,45.679000,137.099900
2023-07-26,298.570000,194.500000,128.150000,42.267000,129.270000,45.452000,140.500000
2023-07-27,311.710000,193.220000,128.250000,41.317000,129.400000,45.900000,140.450000
2023-07-28,325.480000,195.830000,132.210000,42.578000,132.580000,46.750000,140.840000
2023-07-31,318.600000,196.450000,133.680000,43.897000,132.720000,46.729000,144.820000
2023-08-01,322.710000,195.605000,131.690000,43.862000,131.550000,46.507000,142.850000
2023-08-02,314.310000,192.580000,128.210000,42.970000,128.380000,44.269000,139.125000
2023-08-03,313.190000,191.170000,128.910000,43.100000,128.450000,44.515000,139.010000
2023-08-04,310.730000,181.990000,139.570000,43.160000,128.110000,44.680000,140.240000
2023-08-07,316.560000,178.850000,142.220000,44.076000,131.530000,45.416500,141.280000
2023-08-08,312.640000,179.800000,139.940000,43.830000,131.400000,44.664000,141.350000
2023-08-09,305.210000,178.190000,137.850000,42.890000,129.660000,42.554000,141.350000
2023-08-10,305.740000,177.970000,138.560000,42.998000,129.690000,42.388000,137.950000
2023-08-11,301.640000,177.790000,138.410000,42.166000,129.560000,40.855000,141.520000
2023-08-14,306.190000,179.460000,140.570000,42.778000,131.330000,43.753000,143.200000
